,ID,Department,GEO,Role,Will_Relocate,Percent_Remote,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left_Company,promotion_last_5years,sales,salary,Gender,LinkedIn_Hits,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,gender_binary,dept_no,position_no
92,93,Finance,France,Level 2-4,1,0.4,0.38,6,140,3,0,0,0,technical,high,M,18,1,2,2,1,1,0,2
93,94,Human Resources,Japan,Level 2-4,0,0.4,0.38,4,140,6,0,0,0,accounting,medium,M,4,2,1,2,2,1,1,2
94,95,IT,Korea,Level 2-4,1,0.4,0.38,3,215,6,0,0,0,support,low,M,65,1,1,1,1,1,2,2
95,96,Warehouse,UK,Level 2-4,1,0.4,0.38,2,115,3,0,0,0,hr,medium,M,10,1,2,1,2,1,5,2
96,97,Operations,UK,Level 2-4,0,0.4,0.38,2,103,3,0,0,0,sales,low,M,42,1,1,1,1,1,3,2
97,98,Sales,Korea,Level 2-4,0,0.4,0.38,4,186,3,0,0,0,support,medium,F,31,2,1,2,1,0,4,2
98,99,Finance,Turkey,Level 2-4,1,0.4,0.38,6,109,2,0,0,0,support,medium,M,63,1,1,1,1,1,0,2
99,100,Human Resources,China,Level 2-4,1,0.4,0.38,6,212,6,0,0,0,sales,high,M,51,2,1,2,2,1,1,2
100,101,IT,France,Level 2-4,1,0.4,0.38,6,105,5,0,0,0,sales,low,M,54,2,2,1,1,1,2,2
101,102,Warehouse,Colombia,Level 2-4,1,0.4,0.38,4,270,2,0,0,0,RandD,low,M,23,2,1,2,2,1,5,2
102,103,Operations,UK,Level 2-4,1,0.4,0.38,2,268,3,0,0,0,sales,low,M,10,2,1,1,2,1,3,2
103,104,Sales,Colombia,Level 2-4,1,0.4,0.38,2,139,4,0,0,0,technical,medium,M,9,2,2,1,1,1,4,2
104,105,Finance,Korea,Level 2-4,0,0.4,0.38,4,145,5,0,0,0,technical,medium,M,46,2,1,1,1,1,0,2
105,106,Human Resources,Korea,Level 2-4,0,0.4,0.38,5,279,5,0,0,0,sales,low,F,51,1,1,1,2,0,1,2
106,107,IT,Japan,Level 2-4,1,0.4,0.38,2,278,3,1,0,0,sales,low,M,49,1,2,1,1,1,2,2
107,108,Warehouse,China,Level 1,0,0.4,0.38,2,269,5,0,0,0,technical,low,M,45,2,1,1,1,1,5,1
108,109,Operations,Korea,Level 1,1,0.4,0.38,4,128,2,0,0,0,support,low,M,62,2,1,1,2,1,3,1
109,110,Sales,Turkey,Level 1,1,0.4,0.38,3,173,2,0,0,0,technical,low,M,45,2,1,1,1,1,4,1
110,111,Finance,Japan,Level 1,1,0.4,0.38,3,132,4,0,0,0,support,medium,M,31,1,1,1,1,1,0,1
111,112,Human Resources,UK,Level 1,1,0.4,0.38,2,103,3,0,0,0,support,medium,F,18,1,1,1,1,0,1,1
112,113,IT,Japan,Level 1,0,0.4,0.38,4,203,5,0,0,0,sales,low,F,43,1,2,2,2,0,2,1
113,114,Warehouse,France,Level 1,0,0.4,0.38,5,191,5,0,0,0,management,medium,F,6,2,1,1,1,0,5,1
114,115,Operations,China,Level 1,0,0.4,0.38,5,122,4,0,0,0,sales,low,M,38,1,2,1,2,1,3,1
115,116,Sales,China,Level 1,1,0.4,0.38,3,119,2,0,0,0,sales,low,M,20,2,2,2,1,1,4,1
116,117,Finance,China,Level 1,1,0.4,0.38,5,211,7,1,0,0,sales,medium,M,31,1,2,1,2,1,0,1
117,118,Human Resources,US,Level 1,1,0.4,0.38,4,142,10,1,0,0,support,low,M,38,2,2,1,1,1,1,1
118,119,IT,France,Level 1,1,0.4,0.38,5,115,6,1,0,0,marketing,high,F,47,2,1,1,2,0,2,1
119,120,Warehouse,US,Level 1,0,0.4,0.38,2,103,3,0,0,0,support,medium,F,15,1,2,1,1,0,5,1
120,121,Operations,China,Level 1,0,0.4,0.38,4,203,5,0,0,0,sales,low,F,22,2,1,2,2,0,3,1
121,122,Sales,UK,Level 1,1,0.4,0.38,5,191,5,0,0,0,management,medium,M,31,1,1,2,1,1,4,1
122,123,Finance,Australia,Level 1,0,0.4,0.38,5,122,4,0,0,0,sales,low,F,5,2,2,2,2,0,0,1
123,124,Human Resources,Australia,Level 1,1,0.4,0.38,3,119,2,0,0,0,sales,low,F,51,2,2,2,1,0,1,1
124,125,IT,France,Level 1,0,0.4,0.38,5,211,7,1,0,0,sales,medium,F,59,2,1,1,2,0,2,1
125,126,Warehouse,Colombia,Level 1,1,0.4,0.38,4,142,10,1,0,0,support,low,F,33,2,2,2,2,0,5,1
126,127,Operations,Korea,Level 1,0,0.4,0.38,5,115,6,1,0,0,marketing,high,F,33,1,2,1,1,0,3,1
127,128,Sales,UK,Level 1,1,0.4,0.39,2,136,3,0,0,0,sales,medium,M,1,2,2,1,2,1,4,1
128,129,Finance,Colombia,Level 1,1,0.4,0.39,5,198,5,0,0,0,RandD,medium,M,8,1,2,1,1,1,0,1
129,130,Human Resources,Turkey,Level 1,1,0.4,0.39,3,99,2,0,0,0,support,low,M,46,1,2,1,2,1,1,1
130,131,IT,UK,Level 1,1,0.4,0.39,6,214,5,1,0,0,sales,low,M,27,1,1,1,2,1,2,1
131,132,Warehouse,US,Level 1,1,0.4,0.39,4,272,3,0,0,0,marketing,low,F,64,2,2,1,2,0,5,1
132,133,Operations,Colombia,Level 1,1,0.4,0.39,2,167,3,0,0,0,support,medium,M,24,1,1,1,1,1,3,1
133,134,Sales,Turkey,Level 1,1,0.4,0.39,3,149,3,0,0,0,marketing,low,M,65,2,1,1,1,1,4,1
134,135,Finance,Australia,Level 1,0,0.4,0.39,4,275,3,0,0,0,IT,medium,M,15,2,2,1,2,1,0,1
135,136,Human Resources,China,Level 1,0,0.4,0.39,3,261,3,0,0,0,RandD,medium,F,57,2,1,1,2,0,1,1
136,137,IT,Colombia,Level 1,1,0.4,0.39,4,239,4,0,0,0,support,low,F,13,1,1,1,2,0,2,1
137,138,Warehouse,Australia,VP,0,0.4,0.39,5,263,4,0,0,0,marketing,medium,M,53,1,1,1,2,1,5,6
138,139,Operations,Colombia,Senior Director,1,0.4,0.39,3,193,6,0,0,0,sales,medium,F,45,2,1,2,2,0,3,4
139,140,Sales,US,Senior Director,1,0.4,0.39,2,210,5,0,0,0,sales,low,F,34,1,2,1,1,0,4,4
140,141,Finance,Australia,Senior Director,0,0.4,0.39,6,190,3,1,0,0,RandD,medium,F,13,1,2,1,1,0,0,4
141,142,Human Resources,UK,Director,1,0.4,0.39,4,190,5,0,0,0,sales,medium,M,10,1,1,1,2,1,1,0
142,143,IT,Colombia,Director,0,0.4,0.39,5,111,5,0,0,0,support,low,F,33,2,1,2,2,0,2,0
143,144,Warehouse,Colombia,Director,0,0.4,0.39,2,177,6,0,0,0,sales,medium,M,18,2,2,1,1,1,5,0
144,145,Operations,France,Director,0,0.4,0.39,4,193,4,0,0,0,technical,medium,M,4,2,2,2,1,1,3,0
145,146,Sales,UK,Director,1,0.4,0.39,5,229,4,0,0,0,sales,low,M,60,2,1,2,1,1,4,0
146,147,Finance,Australia,Director,1,0.4,0.39,3,99,4,0,0,0,IT,medium,F,22,1,1,1,2,0,0,0
147,148,Human Resources,China,Senior Manager,0,0.4,0.39,5,158,4,1,0,0,product_mng,medium,F,64,2,1,2,2,0,1,5
148,149,IT,Colombia,Senior Manager,0,0.4,0.39,2,188,3,0,0,0,technical,low,M,7,2,2,2,2,1,2,5
149,150,Warehouse,Korea,Senior Manager,0,0.4,0.39,2,145,3,0,0,0,sales,medium,F,51,1,1,2,2,0,5,5
150,151,Operations,Japan,Senior Manager,0,0.4,0.39,5,161,4,0,0,0,IT,low,F,61,2,1,2,2,0,3,5
151,152,Sales,Australia,Senior Manager,0,0.4,0.39,3,175,3,0,0,0,sales,medium,M,39,1,2,2,2,1,4,5
152,153,Finance,US,Senior Manager,0,0.4,0.39,3,193,3,1,0,0,IT,low,M,57,2,2,2,1,1,0,5
153,154,Human Resources,Japan,Senior Manager,1,0.4,0.39,2,235,6,0,0,0,RandD,low,F,41,2,2,1,1,0,1,5
154,155,IT,Korea,Senior Manager,0,0.4,0.39,3,98,3,1,0,0,RandD,low,M,47,2,2,2,1,1,2,5
155,156,Warehouse,Korea,Senior Manager,0,0.4,0.39,6,246,4,0,0,0,sales,medium,M,49,1,2,1,1,1,5,5
156,157,Operations,US,Senior Manager,0,0.4,0.39,2,118,4,0,0,0,sales,medium,M,37,2,1,1,1,1,3,5
157,158,Sales,China,Senior Manager,1,0.4,0.39,6,285,4,0,0,0,sales,low,F,5,2,2,1,2,0,4,5
158,159,Finance,Turkey,Senior Manager,0,0.4,0.39,3,98,3,0,0,0,technical,low,M,48,1,2,1,1,1,0,5
159,160,Human Resources,UK,Manager,0,0.4,0.39,4,152,5,0,0,0,product_mng,high,M,17,1,2,2,2,1,1,3
160,161,IT,UK,Manager,0,0.4,0.39,6,215,5,0,0,0,sales,medium,F,28,2,1,1,2,0,2,3
161,162,Warehouse,Japan,Manager,1,0.4,0.39,5,158,2,0,0,0,sales,medium,F,39,2,1,1,1,0,5,3
162,163,Operations,China,Manager,0,0.4,0.39,2,131,2,0,0,0,marketing,high,M,42,1,2,1,2,1,3,3
163,164,Sales,Korea,Manager,1,0.4,0.39,3,257,3,0,0,0,technical,low,M,38,2,2,1,1,1,4,3
164,165,Finance,Colombia,Manager,0,0.4,0.39,6,132,5,0,0,0,accounting,medium,M,19,2,1,2,1,1,0,3
165,166,Human Resources,France,Manager,1,0.4,0.39,5,200,4,0,0,0,product_mng,medium,F,28,1,1,1,1,0,1,3
166,167,IT,Colombia,Manager,1,0.4,0.39,5,218,2,0,0,0,technical,low,F,26,2,2,1,2,0,2,3
167,168,Warehouse,Turkey,Manager,1,0.4,0.39,6,105,6,0,0,0,technical,medium,F,11,1,1,1,2,0,5,3
168,169,Operations,US,Manager,0,0.4,0.39,4,132,3,0,0,0,product_mng,high,M,42,1,1,2,2,1,3,3
169,170,Sales,Turkey,Manager,1,0.4,0.39,5,132,6,1,0,1,technical,low,M,63,5,5,2,1,1,4,3
170,171,Finance,Australia,Manager,0,0.4,0.39,3,106,8,0,0,0,management,high,F,40,1,1,1,1,0,0,3
171,172,Human Resources,China,Manager,1,0.4,0.39,2,207,7,0,0,0,sales,medium,M,61,2,2,1,1,1,1,3
172,173,IT,Korea,Manager,0,0.4,0.39,5,200,4,0,0,0,product_mng,medium,M,59,1,2,1,2,1,2,3
173,174,Warehouse,Korea,Manager,1,0.4,0.39,5,218,2,0,0,0,technical,low,M,65,2,2,2,2,1,5,3
174,175,Operations,Korea,Manager,0,0.4,0.39,6,105,6,0,0,0,technical,medium,M,8,2,2,2,2,1,3,3
175,176,Sales,Turkey,Manager,0,0.4,0.39,4,132,3,0,0,0,product_mng,high,M,38,1,1,1,1,1,4,3
176,177,Finance,US,Manager,1,0.4,0.39,5,132,6,1,0,1,technical,low,F,39,4,1,1,1,0,0,3
177,178,Human Resources,Australia,Manager,0,0.4,0.39,3,106,8,0,0,0,management,high,M,26,2,2,1,2,1,1,3
178,179,IT,Korea,Manager,0,0.4,0.39,2,207,7,0,0,0,sales,medium,F,37,1,1,2,2,0,2,3
179,180,Warehouse,Japan,Manager,0,0.4,0.4,4,212,2,1,0,0,accounting,low,F,12,2,1,2,2,0,5,3
180,181,Operations,Australia,Manager,0,0.4,0.4,4,258,4,1,0,0,technical,medium,F,59,2,1,1,2,0,3,3
181,182,Sales,US,Level 2-4,0,0.4,0.4,2,141,2,0,0,0,IT,low,M,41,1,1,2,1,1,4,2
182,183,Finance,US,Level 2-4,0,0.4,0.4,2,194,2,0,0,0,sales,low,F,10,1,2,1,1,0,0,2
183,184,Human Resources,UK,Level 2-4,1,0.4,0.4,2,122,5,0,0,0,sales,low,F,32,1,1,2,2,0,1,2
184,185,IT,UK,Level 2-4,0,0.4,0.4,3,120,6,0,0,0,technical,low,M,28,1,2,2,2,1,2,2
185,186,Warehouse,Colombia,Level 2-4,0,0.4,0.4,5,286,4,0,0,0,support,low,F,27,2,1,2,1,0,5,2
186,187,Operations,Colombia,Level 2-4,1,0.4,0.4,2,155,5,1,0,0,support,medium,F,12,1,1,2,2,0,3,2
187,188,Sales,France,Level 2-4,1,0.4,0.4,6,177,2,1,0,0,sales,medium,F,11,2,2,2,2,0,4,2
188,189,Finance,Turkey,Level 2-4,1,0.4,0.4,4,161,2,0,0,0,support,low,M,38,2,2,1,1,1,0,2
189,190,Human Resources,Japan,Level 2-4,1,0.4,0.4,6,174,3,0,0,0,technical,medium,F,34,2,1,2,2,0,1,2
190,191,IT,Korea,Level 2-4,1,0.4,0.4,4,286,3,0,0,0,support,low,F,48,2,1,2,1,0,2,2
191,192,Warehouse,China,Level 2-4,1,0.4,0.4,3,248,3,0,0,0,product_mng,medium,F,32,2,2,2,2,0,5,2
192,193,Operations,Australia,Level 2-4,0,0.4,0.4,3,180,4,0,0,0,sales,medium,F,10,2,1,2,1,0,3,2
193,194,Sales,US,Level 2-4,0,0.4,0.4,2,245,5,0,0,0,product_mng,medium,F,29,1,1,1,1,0,4,2
194,195,Finance,US,Level 2-4,0,0.4,0.4,6,162,5,0,0,0,technical,low,M,24,2,1,2,1,1,0,2
195,196,Human Resources,Korea,Level 2-4,1,0.4,0.4,2,255,3,0,0,0,sales,medium,F,63,2,2,2,1,0,1,2
196,197,IT,Japan,Level 2-4,0,0.4,0.4,3,160,2,0,0,0,technical,low,F,64,1,1,2,1,0,2,2
197,198,Warehouse,China,Level 2-4,0,0.4,0.4,6,110,4,1,0,0,marketing,low,M,45,2,1,2,1,1,5,2
198,199,Operations,China,Level 2-4,1,0.4,0.4,2,277,2,0,0,0,technical,medium,M,19,2,2,1,1,1,3,2
199,200,Sales,Korea,Level 2-4,0,0.4,0.4,4,114,4,1,0,0,technical,low,F,3,1,2,2,1,0,4,2
200,201,Finance,Korea,Level 2-4,1,0.4,0.4,3,262,3,0,0,0,support,low,F,38,2,2,2,2,0,0,2
201,202,Human Resources,Colombia,Level 2-4,1,0.4,0.4,5,199,4,1,0,0,support,high,M,65,1,1,1,2,1,1,2
202,203,IT,Turkey,Level 2-4,0,0.4,0.4,3,160,3,0,0,0,accounting,medium,F,35,1,1,1,1,0,2,2
203,204,Warehouse,Korea,Level 2-4,0,0.4,0.4,5,212,3,1,0,0,technical,medium,M,14,1,1,1,1,1,5,2
204,205,Operations,France,Level 2-4,1,0.4,0.4,2,105,3,0,0,0,RandD,low,M,31,1,2,1,2,1,3,2
205,206,Sales,US,Level 2-4,0,0.4,0.4,3,130,3,0,0,0,product_mng,low,M,62,1,1,2,1,1,4,2
206,207,Finance,China,Level 2-4,1,0.4,0.4,6,214,6,0,0,0,marketing,medium,F,57,2,1,2,1,0,0,2
207,208,Human Resources,Colombia,Level 2-4,0,0.4,0.4,6,205,3,0,0,0,technical,medium,F,54,2,2,2,2,0,1,2
208,209,IT,Colombia,Level 2-4,0,0.4,0.4,3,146,4,1,0,0,technical,low,F,54,1,1,1,2,0,2,2
209,210,Warehouse,Colombia,Level 2-4,1,0.4,0.4,4,246,3,0,0,0,sales,low,F,13,1,2,1,2,0,5,2
210,211,Operations,Australia,Level 2-4,1,0.4,0.4,3,236,5,0,0,0,hr,medium,M,52,1,1,2,1,1,3,2
211,212,Sales,Turkey,Level 2-4,1,0.4,0.4,4,207,5,0,0,0,support,low,F,39,1,1,2,1,0,4,2
212,213,Finance,Turkey,Level 2-4,1,0.4,0.4,3,145,2,0,0,0,support,medium,F,45,1,2,1,2,0,0,2
213,214,Human Resources,US,Level 2-4,1,0.4,0.4,3,113,3,0,0,0,marketing,high,F,21,1,2,2,2,0,1,2
214,215,IT,France,Level 2-4,0,0.4,0.4,4,138,4,0,0,0,sales,low,F,35,2,2,1,1,0,2,2
215,216,Warehouse,France,Level 2-4,1,0.4,0.4,2,108,2,0,0,0,technical,medium,M,18,1,2,1,1,1,5,2
